# Auto-generated Opening Book
# Max opening moves: 10
# Format: sequence -> move (score) [depth]
# Generated entries: 1474

 -> 33 (5000) [1]
33,12,55,15 -> 21 (10000) [6]
33,12,55,15,25 -> 31 (10000) [6]
33,12,55,15,31 -> 25 (10000) [6]
33,12,55,15,35 -> 25 (10000) [6]
33,12,55,15,41 -> 25 (10000) [6]
33,12,55,15,42 -> 25 (10000) [6]
33,12,55,21 -> 15 (10000) [6]
33,12,55,21,25 -> 31 (10000) [6]
33,12,55,21,31 -> 25 (10000) [6]
33,12,55,21,35 -> 25 (10000) [6]
33,12,55,21,41 -> 25 (10000) [6]
33,12,55,21,42 -> 25 (10000) [6]
33,12,55,25 -> 15 (10000) [6]
33,12,55,25,21 -> 31 (10000) [6]
33,12,55,25,31 -> 21 (10000) [6]
33,12,55,25,35 -> 21 (10000) [6]
33,12,55,25,41 -> 21 (10000) [6]
33,12,55,25,42 -> 21 (10000) [6]
33,12,55,31 -> 15 (10000) [6]
33,12,55,31,21 -> 25 (10000) [6]
33,12,55,31,25 -> 21 (10000) [6]
33,12,55,31,35 -> 21 (10000) [6]
33,12,55,31,41 -> 21 (10000) [6]
33,12,55,31,42 -> 21 (10000) [6]
33,12,55,35 -> 15 (10000) [6]
33,12,55,35,21 -> 25 (10000) [6]
33,12,55,35,25 -> 21 (10000) [6]
33,12,55,35,31 -> 21 (10000) [6]
33,12,55,35,41 -> 21 (10000) [6]
33,12,55,35,42 -> 21 (10000) [6]
33,12,41 -> 22 (10000) [6]
33,12,15,51,42 -> 52 (10000) [6]
33,12,15,51,52 -> 42 (10000) [6]
33,12,15,51,13 -> 42 (10000) [6]
33,12,15,51,14 -> 42 (10000) [6]
33,12,15,51,24 -> 42 (10000) [6]
33,12,15,42 -> 51 (10000) [6]
33,12,15,42,13 -> 22 (10000) [6]
33,12,15,42,14 -> 22 (10000) [6]
33,12,15,42,24 -> 22 (10000) [6]
33,12,15,42,34 -> 22 (10000) [6]
33,12,15,42,44 -> 22 (10000) [6]
33,12,15,52 -> 51 (10000) [6]
33,12,15,52,13 -> 22 (10000) [6]
33,12,15,52,14 -> 22 (10000) [6]
33,12,15,52,24 -> 22 (10000) [6]
33,12,15,52,34 -> 22 (10000) [6]
33,12,15,52,44 -> 22 (10000) [6]
33,12,15,13 -> 51 (10000) [6]
33,12,15,13,42 -> 22 (10000) [6]
33,12,15,13,52 -> 22 (10000) [6]
33,12,15,13,34 -> 22 (10000) [6]
33,12,15,13,44 -> 22 (10000) [6]
33,12,15,13,54 -> 22 (10000) [6]
33,12,15,14 -> 51 (10000) [6]
33,12,15,14,42 -> 22 (10000) [6]
33,12,15,14,52 -> 22 (10000) [6]
33,12,15,14,24 -> 22 (10000) [6]
33,12,15,14,34 -> 22 (10000) [6]
33,12,15,14,44 -> 22 (10000) [6]
33,12,42 -> 43 (10000) [6]
33,12,42,51 -> 22 (10000) [6]
33,12,42,51,13 -> 52 (10000) [6]
